"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat","text_Diorite","text_Pumice","time_obs","time_resp"
"","","","","","","","","","","","html-keyboard-response","96","2.0.0","372256","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","45","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","97","2.0.0","373011","66e4bf7868bc6f68b6154b91","4","19","744","","","","","","","","","<img src= ""rock_img/I_Andesite_10.jpg"" style=""width:8cm; height:4.16cm;""><p>What type of rock is this?</p>","4","class_response","0","test","46","Obsidian","Andesite","10","false","5","1","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","98","2.0.0","373518","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","46","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","99","2.0.0","374496","66e4bf7868bc6f68b6154b91","4","19","967","","","","","","","","","<img src= ""rock_img/I_Basalt_09.jpg"" style=""width:8cm; height:6.2cm;""><p>What type of rock is this?</p>","2","class_response","0","test","47","Diorite","Basalt","09","false","3","2","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","100","2.0.0","375000","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","47","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","101","2.0.0","375924","66e4bf7868bc6f68b6154b91","4","19","913","","","","","","","","","<img src= ""rock_img/I_Pumice_05.jpg"" style=""width:8cm; height:7.25cm;""><p>What type of rock is this?</p>","5","class_response","0","test","48","Pegmatite","Pumice","05","false","6","8","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","102","2.0.0","376427","66e4bf7868bc6f68b6154b91","4","19","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","48","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","103","2.0.0","423049","66e4bf7868bc6f68b6154b91","4","19","46412","","","","","","","","[{""page_index"":0,""viewing_time"":1387},{""page_index"":1,""viewing_time"":45025}]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","104","2.0.0","425062","66e4bf7868bc6f68b6154b91","4","19","2009","","","","","","","","","","0","start_train","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","106","2.0.0","426695","66e4bf7868bc6f68b6154b91","4","19","1628","","","","","","","","","<img src= ""rock_img/I_Andesite_05.jpg"" style=""width:8cm; height:4.12cm;""><p>What type of rock is this?</p>","6","class_response","1","train","1","Peridotite","Andesite","05","false","7","1","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","107","2.0.0","427362","66e4bf7868bc6f68b6154b91","4","19","658","","","","","","","","","<img src= rock_img/I_Andesite_05.jpg style=""width:8cm; height:4.12cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is andesite</strong></p>","0","corr_feedback","1","train","1","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","108","2.0.0","427804","66e4bf7868bc6f68b6154b91","4","19","439","","","","","","","","","<img src= ""rock_img/I_Pegmatite_11.jpg"" style=""width:8cm; height:8.14cm;""><p>What type of rock is this?</p>","1","class_response","1","train","2","Basalt","Pegmatite","11","false","2","6","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","109","2.0.0","428284","66e4bf7868bc6f68b6154b91","4","19","477","","","","","","","","","<img src= rock_img/I_Pegmatite_11.jpg style=""width:8cm; height:8.14cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is pegmatite</strong></p>","0","corr_feedback","1","train","2","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","110","2.0.0","428742","66e4bf7868bc6f68b6154b91","4","19","454","","","","","","","","","<img src= ""rock_img/I_Obsidian_10.jpg"" style=""width:8cm; height:6.260000000000001cm;""><p>What type of rock is this?</p>","5","class_response","1","train","3","Pegmatite","Obsidian","10","false","6","5","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","111","2.0.0","429200","66e4bf7868bc6f68b6154b91","4","19","455","","","","","","","","","<img src= rock_img/I_Obsidian_10.jpg style=""width:8cm; height:6.260000000000001cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is obsidian</strong></p>","0","corr_feedback","1","train","3","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","112","2.0.0","429636","66e4bf7868bc6f68b6154b91","4","19","432","","","","","","","","","<img src= ""rock_img/I_Pumice_06.jpg"" style=""width:8cm; height:6.9399999999999995cm;""><p>What type of rock is this?</p>","5","class_response","1","train","4","Pegmatite","Pumice","06","false","6","8","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","113","2.0.0","430134","66e4bf7868bc6f68b6154b91","4","19","494","","","","","","","","","<img src= rock_img/I_Pumice_06.jpg style=""width:8cm; height:6.9399999999999995cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is pumice</strong></p>","0","corr_feedback","1","train","4","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","114","2.0.0","430603","66e4bf7868bc6f68b6154b91","4","19","465","","","","","","","","","<img src= ""rock_img/I_Peridotite_04.jpg"" style=""width:8cm; height:6.680000000000001cm;""><p>What type of rock is this?</p>","5","class_response","1","train","5","Pegmatite","Peridotite","04","false","6","7","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","115","2.0.0","431040","66e4bf7868bc6f68b6154b91","4","19","433","","","","","","","","","<img src= rock_img/I_Peridotite_04.jpg style=""width:8cm; height:6.680000000000001cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is peridotite</strong></p>","0","corr_feedback","1","train","5","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","116","2.0.0","433918","66e4bf7868bc6f68b6154b91","4","19","2873","","","","","","","","","<img src= ""rock_img/I_Andesite_09.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","4","class_response","1","train","6","Obsidian","Andesite","09","false","5","1","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","117","2.0.0","434438","66e4bf7868bc6f68b6154b91","4","19","515","","","","","","","","","<img src= rock_img/I_Andesite_09.jpg style=""width:8cm; height:6cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is andesite</strong></p>","0","corr_feedback","1","train","6","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","118","2.0.0","434928","66e4bf7868bc6f68b6154b91","4","19","484","","","","","","","","","<img src= ""rock_img/I_Diorite_15.jpg"" style=""width:8cm; height:5.54cm;""><p>What type of rock is this?</p>","0","class_response","1","train","7","Andesite","Diorite","15","false","1","3","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","119","2.0.0","435448","66e4bf7868bc6f68b6154b91","4","19","515","","","","","","","","","<img src= rock_img/I_Diorite_15.jpg style=""width:8cm; height:5.54cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is diorite</strong></p>","0","corr_feedback","1","train","7","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","120","2.0.0","435954","66e4bf7868bc6f68b6154b91","4","19","499","","","","","","","","","<img src= ""rock_img/I_Basalt_16.jpg"" style=""width:8cm; height:7.659999999999999cm;""><p>What type of rock is this?</p>","1","class_response","1","train","8","Basalt","Basalt","16","true","2","2","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","121","2.0.0","437161","66e4bf7868bc6f68b6154b91","4","19","1201","","","","","","","","","<img src= rock_img/I_Basalt_16.jpg style=""width:8cm; height:7.659999999999999cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is basalt</strong></p>","0","corr_feedback","1","train","8","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","122","2.0.0","438431","66e4bf7868bc6f68b6154b91","4","19","1265","","","","","","","","","<img src= ""rock_img/I_Pumice_04.jpg"" style=""width:8cm; height:6.819999999999999cm;""><p>What type of rock is this?</p>","1","class_response","1","train","9","Basalt","Pumice","04","false","2","8","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","123","2.0.0","438960","66e4bf7868bc6f68b6154b91","4","19","525","","","","","","","","","<img src= rock_img/I_Pumice_04.jpg style=""width:8cm; height:6.819999999999999cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is pumice</strong></p>","0","corr_feedback","1","train","9","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","124","2.0.0","439394","66e4bf7868bc6f68b6154b91","4","19","430","","","","","","","","","<img src= ""rock_img/I_Gabbro_08.jpg"" style=""width:8cm; height:5.15cm;""><p>What type of rock is this?</p>","5","class_response","1","train","10","Pegmatite","Gabbro","08","false","6","4","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","125","2.0.0","439850","66e4bf7868bc6f68b6154b91","4","19","454","","","","","","","","","<img src= rock_img/I_Gabbro_08.jpg style=""width:8cm; height:5.15cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is gabbro</strong></p>","0","corr_feedback","1","train","10","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","126","2.0.0","440316","66e4bf7868bc6f68b6154b91","4","19","463","","","","","","","","","<img src= ""rock_img/I_Gabbro_12.jpg"" style=""width:8cm; height:7.800000000000001cm;""><p>What type of rock is this?</p>","0","class_response","1","train","11","Andesite","Gabbro","12","false","1","4","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","127","2.0.0","440796","66e4bf7868bc6f68b6154b91","4","19","476","","","","","","","","","<img src= rock_img/I_Gabbro_12.jpg style=""width:8cm; height:7.800000000000001cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is gabbro</strong></p>","0","corr_feedback","1","train","11","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","128","2.0.0","441259","66e4bf7868bc6f68b6154b91","4","19","460","","","","","","","","","<img src= ""rock_img/I_Pegmatite_16.jpg"" style=""width:8cm; height:5.8cm;""><p>What type of rock is this?</p>","4","class_response","1","train","12","Obsidian","Pegmatite","16","false","5","6","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","129","2.0.0","441751","66e4bf7868bc6f68b6154b91","4","19","489","","","","","","","","","<img src= rock_img/I_Pegmatite_16.jpg style=""width:8cm; height:5.8cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is pegmatite</strong></p>","0","corr_feedback","1","train","12","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","130","2.0.0","474189","66e4bf7868bc6f68b6154b91","4","19","32434","","","","","","","","[{""page_index"":0,""viewing_time"":1140},{""page_index"":1,""viewing_time"":8025},{""page_index"":2,""viewing_time"":8706},{""page_index"":3,""viewing_time"":14565}]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","131","2.0.0","496721","66e4bf7868bc6f68b6154b91","4","19","22529","","","","","","","","","","0","start_train","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","132","2.0.0","521158","66e4bf7868bc6f68b6154b91","4","19","","","","","","","","","","","","cat_selection","1","train","1","","","","","","","2117.2999999998137","22314.200000000186","3","8","Diorite","Pumice","","","",""
"","","","","","","","","","","","paired-cat-display","133","1.0.0","747260","66e4bf7868bc6f68b6154b91","4","19","","","","","","","","","","","","paired_cat_display","1","train","1","","","","","","","","","","","","","Black and white ","Red in color ","38453.39999999944","187635.59999999963"
