"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat"
"","","","","","","","","","","","html-keyboard-response","48","2.0.0","749418","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","21","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","49","2.0.0","769760","6732593eff011c52764cee0f","4","12","20336","","","","","","","","","<img src= ""rock_img/I_Pumice_08.jpg"" style=""width:8cm; height:6.67cm;""><p>What type of rock is this?</p>","0","class_response","0","test","22","Andesite","Pumice","08","false","1","8","","","","","",""
"","","","","","","","","","","","html-keyboard-response","50","2.0.0","770278","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","22","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","51","2.0.0","773964","6732593eff011c52764cee0f","4","12","3675","","","","","","","","","<img src= ""rock_img/I_Pegmatite_08.jpg"" style=""width:8cm; height:7.68cm;""><p>What type of rock is this?</p>","1","class_response","0","test","23","Basalt","Pegmatite","08","false","2","6","","","","","",""
"","","","","","","","","","","","html-keyboard-response","52","2.0.0","774479","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","23","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","53","2.0.0","782859","6732593eff011c52764cee0f","4","12","8368","","","","","","","","","<img src= ""rock_img/I_Diorite_15.jpg"" style=""width:8cm; height:5.54cm;""><p>What type of rock is this?</p>","7","class_response","0","test","24","Pumice","Diorite","15","false","8","3","","","","","",""
"","","","","","","","","","","","html-keyboard-response","54","2.0.0","783370","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","24","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","55","2.0.0","788194","6732593eff011c52764cee0f","4","12","4812","","","","","","","","","<img src= ""rock_img/I_Pumice_05.jpg"" style=""width:8cm; height:7.25cm;""><p>What type of rock is this?</p>","2","class_response","0","test","25","Diorite","Pumice","05","false","3","8","","","","","",""
"","","","","","","","","","","","html-keyboard-response","56","2.0.0","788711","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","25","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","57","2.0.0","796021","6732593eff011c52764cee0f","4","12","7299","","","","","","","","","<img src= ""rock_img/I_Obsidian_06.jpg"" style=""width:8cm; height:6.8cm;""><p>What type of rock is this?</p>","4","class_response","0","test","26","Obsidian","Obsidian","06","true","5","5","","","","","",""
"","","","","","","","","","","","html-keyboard-response","58","2.0.0","796540","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","26","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","59","2.0.0","800588","6732593eff011c52764cee0f","4","12","4042","","","","","","","","","<img src= ""rock_img/I_Obsidian_05.jpg"" style=""width:8cm; height:6.33cm;""><p>What type of rock is this?</p>","4","class_response","0","test","27","Obsidian","Obsidian","05","true","5","5","","","","","",""
"","","","","","","","","","","","html-keyboard-response","60","2.0.0","801102","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","27","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","61","2.0.0","806548","6732593eff011c52764cee0f","4","12","5435","","","","","","","","","<img src= ""rock_img/I_Gabbro_11.jpg"" style=""width:8cm; height:6.2cm;""><p>What type of rock is this?</p>","3","class_response","0","test","28","Gabbro","Gabbro","11","true","4","4","","","","","",""
"","","","","","","","","","","","html-keyboard-response","62","2.0.0","807062","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","28","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","63","2.0.0","817266","6732593eff011c52764cee0f","4","12","10189","","","","","","","","","<img src= ""rock_img/I_Pegmatite_12.jpg"" style=""width:8cm; height:5.7cm;""><p>What type of rock is this?</p>","4","class_response","0","test","29","Obsidian","Pegmatite","12","false","5","6","","","","","",""
"","","","","","","","","","","","html-keyboard-response","64","2.0.0","817783","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","29","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","65","2.0.0","821754","6732593eff011c52764cee0f","4","12","3963","","","","","","","","","<img src= ""rock_img/I_Peridotite_07.jpg"" style=""width:8cm; height:4.83cm;""><p>What type of rock is this?</p>","0","class_response","0","test","30","Andesite","Peridotite","07","false","1","7","","","","","",""
"","","","","","","","","","","","html-keyboard-response","66","2.0.0","822264","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","30","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","67","2.0.0","850357","6732593eff011c52764cee0f","4","12","28083","","","","","","","","","<img src= ""rock_img/I_Andesite_11.jpg"" style=""width:8cm; height:4.92cm;""><p>What type of rock is this?</p>","2","class_response","0","test","31","Diorite","Andesite","11","false","3","1","","","","","",""
"","","","","","","","","","","","html-keyboard-response","68","2.0.0","850868","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","31","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","69","2.0.0","855136","6732593eff011c52764cee0f","4","12","4258","","","","","","","","","<img src= ""rock_img/I_Pumice_03.jpg"" style=""width:8cm; height:6.64cm;""><p>What type of rock is this?</p>","7","class_response","0","test","32","Pumice","Pumice","03","true","8","8","","","","","",""
"","","","","","","","","","","","html-keyboard-response","70","2.0.0","855649","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","32","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","71","2.0.0","860855","6732593eff011c52764cee0f","4","12","5192","","","","","","","","","<img src= ""rock_img/I_Basalt_05.jpg"" style=""width:8cm; height:8.18cm;""><p>What type of rock is this?</p>","4","class_response","0","test","33","Obsidian","Basalt","05","false","5","2","","","","","",""
"","","","","","","","","","","","html-keyboard-response","72","2.0.0","861369","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","33","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","73","2.0.0","868341","6732593eff011c52764cee0f","4","12","6959","","","","","","","","","<img src= ""rock_img/I_Basalt_09.jpg"" style=""width:8cm; height:6.2cm;""><p>What type of rock is this?</p>","3","class_response","0","test","34","Gabbro","Basalt","09","false","4","2","","","","","",""
"","","","","","","","","","","","html-keyboard-response","74","2.0.0","868852","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","34","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","75","2.0.0","873360","6732593eff011c52764cee0f","4","12","4500","","","","","","","","","<img src= ""rock_img/I_Basalt_02.jpg"" style=""width:8cm; height:6.45cm;""><p>What type of rock is this?</p>","1","class_response","0","test","35","Basalt","Basalt","02","true","2","2","","","","","",""
"","","","","","","","","","","","html-keyboard-response","76","2.0.0","873864","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","35","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","77","2.0.0","878431","6732593eff011c52764cee0f","4","12","4556","","","","","","","","","<img src= ""rock_img/I_Pegmatite_03.jpg"" style=""width:8cm; height:5.239999999999999cm;""><p>What type of rock is this?</p>","5","class_response","0","test","36","Pegmatite","Pegmatite","03","true","6","6","","","","","",""
"","","","","","","","","","","","html-keyboard-response","78","2.0.0","878943","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","36","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","79","2.0.0","884424","6732593eff011c52764cee0f","4","12","5467","","","","","","","","","<img src= ""rock_img/I_Gabbro_03.jpg"" style=""width:8cm; height:8.52cm;""><p>What type of rock is this?</p>","2","class_response","0","test","37","Diorite","Gabbro","03","false","3","4","","","","","",""
"","","","","","","","","","","","html-keyboard-response","80","2.0.0","884936","6732593eff011c52764cee0f","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","37","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","81","2.0.0","888578","6732593eff011c52764cee0f","4","12","3629","","","","","","","","","<img src= ""rock_img/I_Andesite_01.jpg"" style=""width:8cm; height:5.87cm;""><p>What type of rock is this?</p>","6","class_response","0","test","38","Peridotite","Andesite","01","false","7","1","","","","","",""
