"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat","text_Andesite","text_Diorite","time_obs","time_resp","text_Gabbro"
"","","","","","","","","","","","html-keyboard-response","34","2.0.0","129789","6556e5fa9feed5dca96b6dcd","4","6","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","14","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","35","2.0.0","131419","6556e5fa9feed5dca96b6dcd","4","6","1628","","","","","","","","","<img src= ""rock_img/I_Obsidian_11.jpg"" style=""width:8cm; height:6.05cm;""><p>What type of rock is this?</p>","4","class_response","0","test","15","Obsidian","Obsidian","11","true","5","5","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","36","2.0.0","131923","6556e5fa9feed5dca96b6dcd","4","6","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","15","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","37","2.0.0","136688","6556e5fa9feed5dca96b6dcd","4","6","4763","","","","","","","","","<img src= ""rock_img/I_Gabbro_13.jpg"" style=""width:8cm; height:5.08cm;""><p>What type of rock is this?</p>","5","class_response","0","test","16","Pegmatite","Gabbro","13","false","6","4","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","38","2.0.0","137200","6556e5fa9feed5dca96b6dcd","4","6","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","16","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","39","2.0.0","139428","6556e5fa9feed5dca96b6dcd","4","6","2226","","","","","","","","","<img src= ""rock_img/I_Basalt_12.jpg"" style=""width:8cm; height:6.010000000000001cm;""><p>What type of rock is this?</p>","7","class_response","0","test","17","Pumice","Basalt","12","false","8","2","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","40","2.0.0","139939","6556e5fa9feed5dca96b6dcd","4","6","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","17","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","41","2.0.0","141002","6556e5fa9feed5dca96b6dcd","4","6","1062","","","","","","","","","<img src= ""rock_img/I_Peridotite_07.jpg"" style=""width:8cm; height:4.83cm;""><p>What type of rock is this?</p>","7","class_response","0","test","18","Pumice","Peridotite","07","false","8","7","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","42","2.0.0","141505","6556e5fa9feed5dca96b6dcd","4","6","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","18","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","43","2.0.0","146338","6556e5fa9feed5dca96b6dcd","4","6","4831","","","","","","","","","<img src= ""rock_img/I_Andesite_04.jpg"" style=""width:8cm; height:5.96cm;""><p>What type of rock is this?</p>","2","class_response","0","test","19","Diorite","Andesite","04","false","3","1","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","44","2.0.0","146839","6556e5fa9feed5dca96b6dcd","4","6","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","19","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","45","2.0.0","148398","6556e5fa9feed5dca96b6dcd","4","6","1558","","","","","","","","","<img src= ""rock_img/I_Obsidian_09.jpg"" style=""width:8cm; height:5cm;""><p>What type of rock is this?</p>","4","class_response","0","test","20","Obsidian","Obsidian","09","true","5","5","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","46","2.0.0","148905","6556e5fa9feed5dca96b6dcd","4","6","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","20","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","47","2.0.0","150594","6556e5fa9feed5dca96b6dcd","4","6","1687","","","","","","","","","<img src= ""rock_img/I_Peridotite_15.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","1","class_response","0","test","21","Basalt","Peridotite","15","false","2","7","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","48","2.0.0","151098","6556e5fa9feed5dca96b6dcd","4","6","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","21","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","49","2.0.0","154086","6556e5fa9feed5dca96b6dcd","4","6","2986","","","","","","","","","<img src= ""rock_img/I_Andesite_02.jpg"" style=""width:8cm; height:8.5cm;""><p>What type of rock is this?</p>","1","class_response","0","test","22","Basalt","Andesite","02","false","2","1","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","50","2.0.0","154589","6556e5fa9feed5dca96b6dcd","4","6","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","22","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","51","2.0.0","155903","6556e5fa9feed5dca96b6dcd","4","6","1313","","","","","","","","","<img src= ""rock_img/I_Diorite_06.jpg"" style=""width:8cm; height:6.03cm;""><p>What type of rock is this?</p>","1","class_response","0","test","23","Basalt","Diorite","06","false","2","3","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","52","2.0.0","156406","6556e5fa9feed5dca96b6dcd","4","6","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","23","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","53","2.0.0","158534","6556e5fa9feed5dca96b6dcd","4","6","2126","","","","","","","","","<img src= ""rock_img/I_Obsidian_06.jpg"" style=""width:8cm; height:6.8cm;""><p>What type of rock is this?</p>","4","class_response","0","test","24","Obsidian","Obsidian","06","true","5","5","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","54","2.0.0","159039","6556e5fa9feed5dca96b6dcd","4","6","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","24","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","55","2.0.0","161228","6556e5fa9feed5dca96b6dcd","4","6","2188","","","","","","","","","<img src= ""rock_img/I_Andesite_16.jpg"" style=""width:8cm; height:6.010000000000001cm;""><p>What type of rock is this?</p>","0","class_response","0","test","25","Andesite","Andesite","16","true","1","1","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","56","2.0.0","161732","6556e5fa9feed5dca96b6dcd","4","6","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","25","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","57","2.0.0","163210","6556e5fa9feed5dca96b6dcd","4","6","1476","","","","","","","","","<img src= ""rock_img/I_Diorite_07.jpg"" style=""width:8cm; height:5.239999999999999cm;""><p>What type of rock is this?</p>","4","class_response","0","test","26","Obsidian","Diorite","07","false","5","3","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","58","2.0.0","163712","6556e5fa9feed5dca96b6dcd","4","6","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","26","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","59","2.0.0","165980","6556e5fa9feed5dca96b6dcd","4","6","2266","","","","","","","","","<img src= ""rock_img/I_Pegmatite_03.jpg"" style=""width:8cm; height:5.239999999999999cm;""><p>What type of rock is this?</p>","5","class_response","0","test","27","Pegmatite","Pegmatite","03","true","6","6","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","60","2.0.0","166488","6556e5fa9feed5dca96b6dcd","4","6","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","27","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","61","2.0.0","168189","6556e5fa9feed5dca96b6dcd","4","6","1698","","","","","","","","","<img src= ""rock_img/I_Peridotite_08.jpg"" style=""width:8cm; height:6.7cm;""><p>What type of rock is this?</p>","7","class_response","0","test","28","Pumice","Peridotite","08","false","8","7","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","62","2.0.0","168691","6556e5fa9feed5dca96b6dcd","4","6","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","28","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","63","2.0.0","169910","6556e5fa9feed5dca96b6dcd","4","6","1218","","","","","","","","","<img src= ""rock_img/I_Obsidian_04.jpg"" style=""width:8cm; height:6.930000000000001cm;""><p>What type of rock is this?</p>","4","class_response","0","test","29","Obsidian","Obsidian","04","true","5","5","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","64","2.0.0","170420","6556e5fa9feed5dca96b6dcd","4","6","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","29","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","65","2.0.0","172457","6556e5fa9feed5dca96b6dcd","4","6","2034","","","","","","","","","<img src= ""rock_img/I_Diorite_16.jpg"" style=""width:8cm; height:6.74cm;""><p>What type of rock is this?</p>","2","class_response","0","test","30","Diorite","Diorite","16","true","3","3","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","66","2.0.0","172962","6556e5fa9feed5dca96b6dcd","4","6","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","30","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","67","2.0.0","174005","6556e5fa9feed5dca96b6dcd","4","6","1042","","","","","","","","","<img src= ""rock_img/I_Andesite_14.jpg"" style=""width:8cm; height:5.449999999999999cm;""><p>What type of rock is this?</p>","5","class_response","0","test","31","Pegmatite","Andesite","14","false","6","1","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","68","2.0.0","174515","6556e5fa9feed5dca96b6dcd","4","6","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","31","","","","","","","","","","","","","","","","",""
