"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat","text_Gabbro","text_Andesite","time_obs","time_resp"
"","","","","","","","","","","","html-keyboard-response","48","2.0.0","112514","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","21","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","49","2.0.0","114244","66d7b253c64eb18aa549d79c","4","24","1730","","","","","","","","","<img src= ""rock_img/I_Obsidian_14.jpg"" style=""width:8cm; height:7.64cm;""><p>What type of rock is this?</p>","4","class_response","0","test","22","Obsidian","Obsidian","14","true","5","5","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","50","2.0.0","114751","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","22","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","51","2.0.0","116308","66d7b253c64eb18aa549d79c","4","24","1556","","","","","","","","","<img src= ""rock_img/I_Diorite_16.jpg"" style=""width:8cm; height:6.74cm;""><p>What type of rock is this?</p>","3","class_response","0","test","23","Gabbro","Diorite","16","false","4","3","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","52","2.0.0","116822","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","23","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","53","2.0.0","117907","66d7b253c64eb18aa549d79c","4","24","1084","","","","","","","","","<img src= ""rock_img/I_Pegmatite_05.jpg"" style=""width:8cm; height:7.300000000000001cm;""><p>What type of rock is this?</p>","3","class_response","0","test","24","Gabbro","Pegmatite","05","false","4","6","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","54","2.0.0","118408","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","24","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","55","2.0.0","120143","66d7b253c64eb18aa549d79c","4","24","1734","","","","","","","","","<img src= ""rock_img/I_Pumice_10.jpg"" style=""width:8cm; height:7.609999999999999cm;""><p>What type of rock is this?</p>","7","class_response","0","test","25","Pumice","Pumice","10","true","8","8","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","56","2.0.0","120658","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","25","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","57","2.0.0","123466","66d7b253c64eb18aa549d79c","4","24","2806","","","","","","","","","<img src= ""rock_img/I_Andesite_14.jpg"" style=""width:8cm; height:5.449999999999999cm;""><p>What type of rock is this?</p>","1","class_response","0","test","26","Basalt","Andesite","14","false","2","1","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","58","2.0.0","123977","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","26","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","59","2.0.0","125197","66d7b253c64eb18aa549d79c","4","24","1220","","","","","","","","","<img src= ""rock_img/I_Pegmatite_10.jpg"" style=""width:8cm; height:4.16cm;""><p>What type of rock is this?</p>","1","class_response","0","test","27","Basalt","Pegmatite","10","false","2","6","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","60","2.0.0","125705","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","27","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","61","2.0.0","127635","66d7b253c64eb18aa549d79c","4","24","1929","","","","","","","","","<img src= ""rock_img/I_Basalt_12.jpg"" style=""width:8cm; height:6.010000000000001cm;""><p>What type of rock is this?</p>","7","class_response","0","test","28","Pumice","Basalt","12","false","8","2","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","62","2.0.0","128138","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","28","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","63","2.0.0","128877","66d7b253c64eb18aa549d79c","4","24","737","","","","","","","","","<img src= ""rock_img/I_Gabbro_08.jpg"" style=""width:8cm; height:5.15cm;""><p>What type of rock is this?</p>","7","class_response","0","test","29","Pumice","Gabbro","08","false","8","4","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","64","2.0.0","129379","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","29","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","65","2.0.0","130136","66d7b253c64eb18aa549d79c","4","24","756","","","","","","","","","<img src= ""rock_img/I_Pumice_09.jpg"" style=""width:8cm; height:6.44cm;""><p>What type of rock is this?</p>","7","class_response","0","test","30","Pumice","Pumice","09","true","8","8","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","66","2.0.0","130638","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","30","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","67","2.0.0","131307","66d7b253c64eb18aa549d79c","4","24","668","","","","","","","","","<img src= ""rock_img/I_Peridotite_08.jpg"" style=""width:8cm; height:6.7cm;""><p>What type of rock is this?</p>","7","class_response","0","test","31","Pumice","Peridotite","08","false","8","7","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","68","2.0.0","131809","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","31","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","69","2.0.0","132831","66d7b253c64eb18aa549d79c","4","24","1019","","","","","","","","","<img src= ""rock_img/I_Andesite_04.jpg"" style=""width:8cm; height:5.96cm;""><p>What type of rock is this?</p>","7","class_response","0","test","32","Pumice","Andesite","04","false","8","1","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","70","2.0.0","133336","66d7b253c64eb18aa549d79c","4","24","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","32","","","","","","","","","","","","","","","",""
