"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num"
"","","","","","","","","","","","html-button-response","81","2.0.0","124422","66fc0d1538357d2081dda6b9","3","38","630","","","","","","","","","<img src= ""rock_img/I_Pegmatite_03.jpg"" style=""width:8cm; height:5.239999999999999cm;""><p>What type of rock is this?</p>","3","class_response","0","test","38","Gabbro","Pegmatite","03","false","4","6"
"","","","","","","","","","","","html-keyboard-response","82","2.0.0","124929","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","38","","","","","",""
"","","","","","","","","","","","html-button-response","83","2.0.0","125668","66fc0d1538357d2081dda6b9","3","38","737","","","","","","","","","<img src= ""rock_img/I_Andesite_07.jpg"" style=""width:8cm; height:5.93cm;""><p>What type of rock is this?</p>","6","class_response","0","test","39","Peridotite","Andesite","07","false","7","1"
"","","","","","","","","","","","html-keyboard-response","84","2.0.0","126173","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","39","","","","","",""
"","","","","","","","","","","","html-button-response","85","2.0.0","126846","66fc0d1538357d2081dda6b9","3","38","671","","","","","","","","","<img src= ""rock_img/I_Diorite_13.jpg"" style=""width:8cm; height:6.29cm;""><p>What type of rock is this?</p>","1","class_response","0","test","40","Basalt","Diorite","13","false","2","3"
"","","","","","","","","","","","html-keyboard-response","86","2.0.0","127357","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","40","","","","","",""
"","","","","","","","","","","","html-button-response","87","2.0.0","128053","66fc0d1538357d2081dda6b9","3","38","694","","","","","","","","","<img src= ""rock_img/I_Diorite_10.jpg"" style=""width:8cm; height:5.949999999999999cm;""><p>What type of rock is this?</p>","0","class_response","0","test","41","Andesite","Diorite","10","false","1","3"
"","","","","","","","","","","","html-keyboard-response","88","2.0.0","128568","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","41","","","","","",""
"","","","","","","","","","","","html-button-response","89","2.0.0","129597","66fc0d1538357d2081dda6b9","3","38","1026","","","","","","","","","<img src= ""rock_img/I_Basalt_05.jpg"" style=""width:8cm; height:8.18cm;""><p>What type of rock is this?</p>","4","class_response","0","test","42","Obsidian","Basalt","05","false","5","2"
"","","","","","","","","","","","html-keyboard-response","90","2.0.0","130102","66fc0d1538357d2081dda6b9","3","38","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","42","","","","","",""
