"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","condition","success","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","value","ref_cat_num","paired_cat_num","time_obs","ref_cat","paired_cat","ref_prob_dist","paired_prob_dist","text_Pegmatite","text_Diorite","time_resp","text_Gabbro","time_fb1","time_fb2","text_Obsidian","text_Basalt","text_Peridotite"
"1450","","html-button-response","65","2.0.0","127999","test","3","","","","","","","<img src= rock_img/I_Andesite_04.jpg style=""width:8cm; height:5.96cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is andesite</strong></p>","0","corr_feedback","1","train","6","","","","","","","","","","","","","","","","","","","","","","",""
"1507","","html-button-response","66","2.0.0","129508","test","3","","","","","","","<img src= ""rock_img/I_Pegmatite_08.jpg"" style=""width:8cm; height:7.68cm;""><p>What type of rock is this?</p>","3","class_response","1","train","7","Gabbro","Pegmatite","08","false","4","6","","","","","","","","","","","","","","","","",""
"1054","","html-button-response","67","2.0.0","130564","test","3","","","","","","","<img src= rock_img/I_Pegmatite_08.jpg style=""width:8cm; height:7.68cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is pegmatite</strong></p>","0","corr_feedback","1","train","7","","","","","","","","","","","","","","","","","","","","","","",""
"1818","","html-button-response","68","2.0.0","132383","test","3","","","","","","","<img src= ""rock_img/I_Pumice_03.jpg"" style=""width:8cm; height:6.64cm;""><p>What type of rock is this?</p>","7","class_response","1","train","8","Pumice","Pumice","03","true","8","8","","","","","","","","","","","","","","","","",""
"725","","html-button-response","69","2.0.0","133109","test","3","","","","","","","<img src= rock_img/I_Pumice_03.jpg style=""width:8cm; height:6.64cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is pumice</strong></p>","0","corr_feedback","1","train","8","","","","","","","","","","","","","","","","","","","","","","",""
"1510","","html-button-response","70","2.0.0","134621","test","3","","","","","","","<img src= ""rock_img/I_Basalt_11.jpg"" style=""width:8cm; height:5.359999999999999cm;""><p>What type of rock is this?</p>","7","class_response","1","train","9","Pumice","Basalt","11","false","8","2","","","","","","","","","","","","","","","","",""
"873","","html-button-response","71","2.0.0","135495","test","3","","","","","","","<img src= rock_img/I_Basalt_11.jpg style=""width:8cm; height:5.359999999999999cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is basalt</strong></p>","0","corr_feedback","1","train","9","","","","","","","","","","","","","","","","","","","","","","",""
"1839","","html-button-response","72","2.0.0","137336","test","3","","","","","","","<img src= ""rock_img/I_Obsidian_05.jpg"" style=""width:8cm; height:6.33cm;""><p>What type of rock is this?</p>","4","class_response","1","train","10","Obsidian","Obsidian","05","true","5","5","","","","","","","","","","","","","","","","",""
"804","","html-button-response","73","2.0.0","138142","test","3","","","","","","","<img src= rock_img/I_Obsidian_05.jpg style=""width:8cm; height:6.33cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is obsidian</strong></p>","0","corr_feedback","1","train","10","","","","","","","","","","","","","","","","","","","","","","",""
"1282","","html-button-response","74","2.0.0","139425","test","3","","","","","","","<img src= ""rock_img/I_Diorite_09.jpg"" style=""width:8cm; height:5.27cm;""><p>What type of rock is this?</p>","5","class_response","1","train","11","Pegmatite","Diorite","09","false","6","3","","","","","","","","","","","","","","","","",""
"1064","","html-button-response","75","2.0.0","140490","test","3","","","","","","","<img src= rock_img/I_Diorite_09.jpg style=""width:8cm; height:5.27cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is diorite</strong></p>","0","corr_feedback","1","train","11","","","","","","","","","","","","","","","","","","","","","","",""
"1103","","html-button-response","76","2.0.0","141596","test","3","","","","","","","<img src= ""rock_img/I_Andesite_07.jpg"" style=""width:8cm; height:5.93cm;""><p>What type of rock is this?</p>","2","class_response","1","train","12","Diorite","Andesite","07","false","3","1","","","","","","","","","","","","","","","","",""
"1046","","html-button-response","77","2.0.0","142643","test","3","","","","","","","<img src= rock_img/I_Andesite_07.jpg style=""width:8cm; height:5.93cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is andesite</strong></p>","0","corr_feedback","1","train","12","","","","","","","","","","","","","","","","","","","","","","",""
"1908","","html-button-response","78","2.0.0","144553","test","3","","","","","","","<img src= ""rock_img/I_Peridotite_02.jpg"" style=""width:8cm; height:5.859999999999999cm;""><p>What type of rock is this?</p>","0","class_response","1","train","13","Andesite","Peridotite","02","false","1","7","","","","","","","","","","","","","","","","",""
"928","","html-button-response","79","2.0.0","145482","test","3","","","","","","","<img src= rock_img/I_Peridotite_02.jpg style=""width:8cm; height:5.859999999999999cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is peridotite</strong></p>","0","corr_feedback","1","train","13","","","","","","","","","","","","","","","","","","","","","","",""
