"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat","text_Peridotite","text_Andesite","time_obs","time_resp","text_Basalt","text_Pumice","text_Pegmatite","text_Gabbro","time_fb1","time_fb2","text_Diorite"
"","","","","","","","","","","","html-button-response","392","2.0.0","1697853","673697285ddcc30a6c648f79","4","12","2682","","","","","","","","","<img src= ""rock_img/I_Diorite_06.jpg"" style=""width:8cm; height:6.03cm;""><p>What type of rock is this?</p>","3","class_response","3","train","10","Gabbro","Diorite","06","false","4","3","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","393","2.0.0","1698786","673697285ddcc30a6c648f79","4","12","932","","","","","","","","","<img src= rock_img/I_Diorite_06.jpg style=""width:8cm; height:6.03cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is diorite</strong></p>","0","corr_feedback","3","train","10","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","394","2.0.0","1699952","673697285ddcc30a6c648f79","4","12","1165","","","","","","","","","<img src= ""rock_img/I_Obsidian_08.jpg"" style=""width:8cm; height:7.39cm;""><p>What type of rock is this?</p>","4","class_response","3","train","11","Obsidian","Obsidian","08","true","5","5","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","395","2.0.0","1700769","673697285ddcc30a6c648f79","4","12","816","","","","","","","","","<img src= rock_img/I_Obsidian_08.jpg style=""width:8cm; height:7.39cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is obsidian</strong></p>","0","corr_feedback","3","train","11","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","396","2.0.0","1703203","673697285ddcc30a6c648f79","4","12","2432","","","","","","","","","<img src= ""rock_img/I_Obsidian_09.jpg"" style=""width:8cm; height:5cm;""><p>What type of rock is this?</p>","4","class_response","3","train","12","Obsidian","Obsidian","09","true","5","5","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","397","2.0.0","1703936","673697285ddcc30a6c648f79","4","12","732","","","","","","","","","<img src= rock_img/I_Obsidian_09.jpg style=""width:8cm; height:5cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is obsidian</strong></p>","0","corr_feedback","3","train","12","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","399","2.0.0","1705286","673697285ddcc30a6c648f79","4","12","1349","","","","","","","","","","0","start_train","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","400","2.0.0","1717203","673697285ddcc30a6c648f79","4","12","","","","","","","","","","","","cat_selection","3","train","1","","","","","","","2682","9233.399999976158","1","4","Basalt","Gabbro","","","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","401","1.0.0","1809936","673697285ddcc30a6c648f79","4","12","","","","","","","","","","","","paired_cat_display","3","train","1","","","","","","","","","","","","","","Andesite has more small flecks of different colors and small holes.","6398.5","86332.19999998808","","","","Gabbro is more uniform in color and has more rough spots.","","",""
"","","","","","","","","","","","html-button-response","402","2.0.0","1828036","673697285ddcc30a6c648f79","4","12","","","","","","","","","","","","cat_selection","3","train","2","","","","","","","6431.799999952316","11667.600000023842","3","1","Andesite","Gabbro","","","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","403","1.0.0","1911703","673697285ddcc30a6c648f79","4","12","","","","","","","","","","","","paired_cat_display","3","train","2","","","","","","","","","","","","","","Andesite has flecks of different colors but they are varied and widespread.","6115.199999988079","77549.30000001192","","","","","","","Diorite has a much more flecked or ""dotted"" appearance with black as the primary dot color."
"","","","","","","","","","","","html-button-response","404","2.0.0","1923253","673697285ddcc30a6c648f79","4","12","","","","","","","","","","","","cat_selection","3","train","3","","","","","","","9483.800000011921","2065.199999988079","6","7","Diorite","Andesite","","","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","405","1.0.0","1985738","673697285ddcc30a6c648f79","4","12","","","","","","","","","","","","paired_cat_display","3","train","3","","","","","","","","","","","","","Peridotite contains green but also does not contain large black pieces with the green.","","5999.300000011921","56483","","","Large chunks of black appear throughout the various colors of each rock.","","","",""
"","","","","","","","","","","","html-button-response","407","2.0.0","1987320","673697285ddcc30a6c648f79","4","12","1581","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","408","2.0.0","1994121","673697285ddcc30a6c648f79","4","12","6800","","","","","","","","","<img src= ""rock_img/I_Basalt_09.jpg"" style=""width:8cm; height:6.2cm;""><p>What type of rock is this?</p>","1","class_response","3","test","1","Basalt","Basalt","09","true","2","2","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","409","2.0.0","1994622","673697285ddcc30a6c648f79","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","1","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","410","2.0.0","1996021","673697285ddcc30a6c648f79","4","12","1397","","","","","","","","","<img src= ""rock_img/I_Pegmatite_08.jpg"" style=""width:8cm; height:7.68cm;""><p>What type of rock is this?</p>","5","class_response","3","test","2","Pegmatite","Pegmatite","08","true","6","6","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","411","2.0.0","1996523","673697285ddcc30a6c648f79","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","2","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","412","2.0.0","1997687","673697285ddcc30a6c648f79","4","12","1163","","","","","","","","","<img src= ""rock_img/I_Pegmatite_10.jpg"" style=""width:8cm; height:4.16cm;""><p>What type of rock is this?</p>","6","class_response","3","test","3","Peridotite","Pegmatite","10","false","7","6","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","413","2.0.0","1998189","673697285ddcc30a6c648f79","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","3","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","414","2.0.0","1999337","673697285ddcc30a6c648f79","4","12","1146","","","","","","","","","<img src= ""rock_img/I_Pegmatite_15.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","5","class_response","3","test","4","Pegmatite","Pegmatite","15","true","6","6","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","415","2.0.0","1999838","673697285ddcc30a6c648f79","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","4","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","416","2.0.0","2001022","673697285ddcc30a6c648f79","4","12","1182","","","","","","","","","<img src= ""rock_img/I_Obsidian_16.jpg"" style=""width:8cm; height:9.3cm;""><p>What type of rock is this?</p>","4","class_response","3","test","5","Obsidian","Obsidian","16","true","5","5","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","417","2.0.0","2001523","673697285ddcc30a6c648f79","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","5","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","418","2.0.0","2002871","673697285ddcc30a6c648f79","4","12","1347","","","","","","","","","<img src= ""rock_img/I_Pumice_14.jpg"" style=""width:8cm; height:6.39cm;""><p>What type of rock is this?</p>","7","class_response","3","test","6","Pumice","Pumice","14","true","8","8","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","419","2.0.0","2003373","673697285ddcc30a6c648f79","4","12","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","6","","","","","","","","","","","","","","","","","","","","","","",""
