"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","rt_ref","rt_paired","ref_cat_num","paired_cat_num","ref_cat","paired_cat","text_Pegmatite","text_Peridotite","time_obs","time_resp","text_Gabbro","text_Andesite","text_Diorite","text_Pumice","time_fb1","time_fb2","text_Obsidian","text_Basalt"
"","","","","","","","","","","","html-button-response","392","2.0.0","1852165","67266c0ecff4ab3acc3b5a54","4","30","1302","","","","","","","","","<img src= ""rock_img/I_Basalt_01.jpg"" style=""width:8cm; height:7.880000000000001cm;""><p>What type of rock is this?</p>","1","class_response","3","train","10","Basalt","Basalt","01","true","2","2","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","393","2.0.0","1853193","67266c0ecff4ab3acc3b5a54","4","30","1024","","","","","","","","","<img src= rock_img/I_Basalt_01.jpg style=""width:8cm; height:7.880000000000001cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is basalt</strong></p>","0","corr_feedback","3","train","10","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","394","2.0.0","1854754","67266c0ecff4ab3acc3b5a54","4","30","1555","","","","","","","","","<img src= ""rock_img/I_Gabbro_10.jpg"" style=""width:8cm; height:5.680000000000001cm;""><p>What type of rock is this?</p>","2","class_response","3","train","11","Diorite","Gabbro","10","false","3","4","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","395","2.0.0","1855678","67266c0ecff4ab3acc3b5a54","4","30","918","","","","","","","","","<img src= rock_img/I_Gabbro_10.jpg style=""width:8cm; height:5.680000000000001cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is gabbro</strong></p>","0","corr_feedback","3","train","11","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","396","2.0.0","1857704","67266c0ecff4ab3acc3b5a54","4","30","2021","","","","","","","","","<img src= ""rock_img/I_Diorite_16.jpg"" style=""width:8cm; height:6.74cm;""><p>What type of rock is this?</p>","2","class_response","3","train","12","Diorite","Diorite","16","true","3","3","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","397","2.0.0","1858539","67266c0ecff4ab3acc3b5a54","4","30","818","","","","","","","","","<img src= rock_img/I_Diorite_16.jpg style=""width:8cm; height:6.74cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is diorite</strong></p>","0","corr_feedback","3","train","12","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","399","2.0.0","1860020","67266c0ecff4ab3acc3b5a54","4","30","1477","","","","","","","","","","0","start_train","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","400","2.0.0","1866253","67266c0ecff4ab3acc3b5a54","4","30","","","","","","","","","","","","cat_selection","3","train","1","","","","","","","3169","3061","2","1","Basalt","Andesite","","","","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","401","1.0.0","1951237","67266c0ecff4ab3acc3b5a54","4","30","","","","","","","","","","","","paired_cat_display","3","train","1","","","","","","","","","","","","","","","6462","78510","","They look like they have black particles","","","","","","They look sliced off"
"","","","","","","","","","","","html-button-response","402","2.0.0","1955742","67266c0ecff4ab3acc3b5a54","4","30","","","","","","","","","","","","cat_selection","3","train","2","","","","","","","2044","2457","3","5","Diorite","Obsidian","","","","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","403","1.0.0","1994452","67266c0ecff4ab3acc3b5a54","4","30","","","","","","","","","","","","paired_cat_display","3","train","2","","","","","","","","","","","","","","","6488","32212","","","They have more dark particles in them","","","","They look shiny",""
"","","","","","","","","","","","html-button-response","404","2.0.0","1997572","67266c0ecff4ab3acc3b5a54","4","30","","","","","","","","","","","","cat_selection","3","train","3","","","","","","","2327","788","3","4","Diorite","Gabbro","","","","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","405","1.0.0","2040452","67266c0ecff4ab3acc3b5a54","4","30","","","","","","","","","","","","paired_cat_display","3","train","3","","","","","","","","","","","","","","","6257","36612","They look like the have shades of green in them.","","They have black particles in them","","","","",""
"","","","","","","","","","","","html-button-response","407","2.0.0","2041548","67266c0ecff4ab3acc3b5a54","4","30","1091","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","408","2.0.0","2043909","67266c0ecff4ab3acc3b5a54","4","30","2355","","","","","","","","","<img src= ""rock_img/I_Diorite_02.jpg"" style=""width:8cm; height:6.27cm;""><p>What type of rock is this?</p>","2","class_response","3","test","1","Diorite","Diorite","02","true","3","3","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","409","2.0.0","2044418","67266c0ecff4ab3acc3b5a54","4","30","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","1","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","410","2.0.0","2052125","67266c0ecff4ab3acc3b5a54","4","30","7703","","","","","","","","","<img src= ""rock_img/I_Andesite_09.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","3","class_response","3","test","2","Gabbro","Andesite","09","false","4","1","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","411","2.0.0","2052644","67266c0ecff4ab3acc3b5a54","4","30","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","2","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","412","2.0.0","2054110","67266c0ecff4ab3acc3b5a54","4","30","1461","","","","","","","","","<img src= ""rock_img/I_Obsidian_12.jpg"" style=""width:8cm; height:6.53cm;""><p>What type of rock is this?</p>","4","class_response","3","test","3","Obsidian","Obsidian","12","true","5","5","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","413","2.0.0","2054613","67266c0ecff4ab3acc3b5a54","4","30","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","3","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","414","2.0.0","2055709","67266c0ecff4ab3acc3b5a54","4","30","1091","","","","","","","","","<img src= ""rock_img/I_Obsidian_10.jpg"" style=""width:8cm; height:6.260000000000001cm;""><p>What type of rock is this?</p>","4","class_response","3","test","4","Obsidian","Obsidian","10","true","5","5","","","","","","","","","","","","","","","","","",""
