participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,train_trials.order,SC_cond_filter.thisRepN,SC_cond_filter.thisTrialN,SC_cond_filter.thisN,SC_cond_filter.thisIndex,SC_cond_filter.ran,SC_cond_filter.order
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,1,2,16,,,,,,,,4,08,,,,,,,,,,,6,1.216,0,,,,,,-0.06640625,-0.395833333,1,0,0,1.2157,Pegmatite_rect,15,0,15,0,1,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,1,-0.092447917,-0.096354167,1,0,0,3.0364,Pumice_05,8,05,3,4,3.036,-0.329427083,-0.2578125,1,0,0,27.8684,Andesite_rect,1,27.868,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,2,-0.227864583,-0.0859375,1,0,0,1.3137,Pegmatite_12,6,12,3,3,1.314,-0.102864583,-0.26953125,1,0,0,0.9014,Basalt_rect,2,0.901,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,3,-0.092447917,-0.1015625,1,0,0,1.1369,Pumice_05,8,05,3,4,1.137,0.083333333,-0.25390625,1,0,0,0.9372,Diorite_rect,3,0.937,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,4,0.09765625,-0.104166667,1,0,0,0.9343,Diorite_16,3,16,3,5,0.934,-0.075520833,-0.380208333,1,0,0,1.3439,Pegmatite_rect,6,1.344,0,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,5,0.529947917,0.08203125,1,0,0,1.2711,Obsidian_12,5,12,4,8,1.271,-0.329427083,-0.408854167,1,0,0,0.8333,Obsidian_rect,5,0.833,1,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,6,-0.389322917,-0.274739583,1,0,0,1.3066,Obsidian_11,5,11,2,2,1.307,-0.39453125,-0.393229167,1,0,0,0.8514,Obsidian_rect,5,0.851,1,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,7,-0.23828125,-0.256510417,1,0,0,1.271,Diorite_15,3,15,2,3,1.271,0.419270833,-0.252604167,1,0,0,1.4038,Gabbro_rect,4,1.404,0,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,8,-0.259114583,-0.109375,1,0,0,0.9024,Pegmatite_12,6,12,3,3,0.902,0.07421875,-0.244791667,1,0,0,5.4187,Diorite_rect,3,5.419,0,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,9,-0.430989583,0.08984375,1,0,0,1.3879,Pumice_09,8,09,4,2,1.388,-0.180989583,-0.240885417,1,0,0,1.7982,Basalt_rect,2,1.798,0,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,10,-0.55859375,-0.450520833,1,0,0,1.9329,Pumice_10,8,10,1,1,1.933,0.42578125,-0.415364583,1,0,0,1.4986,Pumice_rect,8,1.499,1,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,11,-0.260416667,-0.407552083,1,0,0,1.0868,Gabbro_10,4,10,1,3,1.087,0.08984375,-0.2421875,1,0,0,1.8964,Diorite_rect,3,1.896,0,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
66437fc81d7c8bf0cc3ed9ff,SCN,2024-06-25_18h03.36.420,LearnStrategy,2023.2.3,Win32,59.17159763,2,1,12,0.3984375,-0.4140625,1,0,0,1.2207,Peridotite_12,7,12,1,7,1.221,0.184895833,-0.247395833,1,0,0,1.4531,Diorite_rect,3,1.453,0,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
