participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,train_trials.order
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,12,-0.227864583,0.3828125,1,0,0,1.698,Diorite_16,3,16,6,3,1.698,0.3671875,-0.404947917,1,0,0,1.1992,Pumice_rect,8,1.199,0,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,13,-0.268229167,0.395833333,1,0,0,1.4483,Diorite_16,3,16,6,3,1.448,0.361979167,-0.248697917,1,0,0,1.4657,Gabbro_rect,4,1.466,0,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,14,-0.229166667,0.369791667,1,0,0,1.0797,Diorite_16,3,16,6,3,1.08,0.1171875,-0.247395833,1,0,0,1.369,Diorite_rect,3,1.369,1,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,15,0.384114583,-0.235677083,1,0,0,5.6807,Diorite_08,3,08,2,7,5.681,0.118489583,-0.263020833,1,0,0,1.4438,Diorite_rect,3,1.444,1,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,16,-0.18359375,-0.416666667,1,0,0,3.8486,Peridotite_06,7,06,1,3,3.849,-0.09765625,-0.395833333,1,0,0,1.6441,Pegmatite_rect,6,1.644,0,15,0,15,0,1,,,,,,,,,,,,,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,1,,,,,,,,1,16,,,,,,,,,,,3,6.243,0,,,,,,0.135416667,-0.25390625,1,0,0,6.2433,Diorite_rect,0,0,0,0,1,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,2,,,,,,,,1,02,,,,,,,,,,,8,3.605,0,,,,,,0.325520833,-0.415364583,1,0,0,3.6054,Pumice_rect,1,0,1,0,1,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,3,,,,,,,,6,16,,,,,,,,,,,6,2.452,1,,,,,,-0.071614583,-0.391927083,1,0,0,2.4522,Pegmatite_rect,2,0,2,0,1,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,4,,,,,,,,6,06,,,,,,,,,,,5,2.081,0,,,,,,-0.31640625,-0.381510417,1,0,0,2.081,Obsidian_rect,3,0,3,0,1,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,5,,,,,,,,7,13,,,,,,,,,,,4,2.907,0,,,,,,0.325520833,-0.239583333,1,0,0,2.9073,Gabbro_rect,4,0,4,0,1,,,,,,,,
65a91d4a92194759e6a7597c,SCN,2024-06-11_12h11.14.595,LearnStrategy,2023.2.3,Win32,60.24096386,2,2,6,,,,,,,,4,01,,,,,,,,,,,3,2.226,0,,,,,,0.205729167,-0.2421875,1,0,0,2.2264,Diorite_rect,5,0,5,0,1,,,,,,,,
