width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,plugin_version,time_elapsed,subjID,condition,stimID,rt,url,success,value,timeout,failed_images,failed_audio,failed_video,view_history,stimulus,response,trialType,cycle,phase,trial,resp,cat,token,corr,resp_num,cat_num,ref_cat_num,paired_cat_num,time_obs,ref_cat,paired_cat,ref_prob_dist,paired_prob_dist,text_Basalt,text_Pegmatite,time_resp,text_Diorite,text_Gabbro,text_Pumice,time_fb1,time_fb2,text_Peridotite,text_Andesite
,,,,,,,,,,,html-button-response,91,2.0.0,233473,6703aeb136ffd366f9c531d4,3,16,1207,,,,,,,,,"<img src= ""rock_img/I_Basalt_14.jpg"" style=""width:8cm; height:5.82cm;""><p>What type of rock is this?</p>",5,class_response,0,test,43,Pegmatite,Basalt,14,FALSE,6,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,92,2.0.0,233990,6703aeb136ffd366f9c531d4,3,16,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,43,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,93,2.0.0,236426,6703aeb136ffd366f9c531d4,3,16,2433,,,,,,,,,"<img src= ""rock_img/I_Basalt_05.jpg"" style=""width:8cm; height:8.18cm;""><p>What type of rock is this?</p>",3,class_response,0,test,44,Gabbro,Basalt,5,FALSE,4,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,94,2.0.0,236943,6703aeb136ffd366f9c531d4,3,16,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,44,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,95,2.0.0,238218,6703aeb136ffd366f9c531d4,3,16,1273,,,,,,,,,"<img src= ""rock_img/I_Pumice_02.jpg"" style=""width:8cm; height:7.3999999999999995cm;""><p>What type of rock is this?</p>",1,class_response,0,test,45,Basalt,Pumice,2,FALSE,2,8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,96,2.0.0,238723,6703aeb136ffd366f9c531d4,3,16,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,45,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,97,2.0.0,241830,6703aeb136ffd366f9c531d4,3,16,3104,,,,,,,,,"<img src= ""rock_img/I_Andesite_04.jpg"" style=""width:8cm; height:5.96cm;""><p>What type of rock is this?</p>",1,class_response,0,test,46,Basalt,Andesite,4,FALSE,2,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,98,2.0.0,242346,6703aeb136ffd366f9c531d4,3,16,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,46,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,99,2.0.0,244222,6703aeb136ffd366f9c531d4,3,16,1873,,,,,,,,,"<img src= ""rock_img/I_Basalt_04.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>",1,class_response,0,test,47,Basalt,Basalt,4,TRUE,2,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,100,2.0.0,244725,6703aeb136ffd366f9c531d4,3,16,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,47,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,101,2.0.0,246345,6703aeb136ffd366f9c531d4,3,16,1618,,,,,,,,,"<img src= ""rock_img/I_Obsidian_14.jpg"" style=""width:8cm; height:7.64cm;""><p>What type of rock is this?</p>",4,class_response,0,test,48,Obsidian,Obsidian,14,TRUE,5,5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,102,2.0.0,246851,6703aeb136ffd366f9c531d4,3,16,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,48,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,instructions,103,2.0.0,262963,6703aeb136ffd366f9c531d4,3,16,16059,,,,,,,,"[{""page_index"":0,""viewing_time"":11648},{""page_index"":1,""viewing_time"":4411}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,104,2.0.0,268097,6703aeb136ffd366f9c531d4,3,16,5131,,,,,,,,,,0,start_train,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,106,2.0.0,270983,6703aeb136ffd366f9c531d4,3,16,2881,,,,,,,,,"<img src= ""rock_img/I_Andesite_16.jpg"" style=""width:8cm; height:6.010000000000001cm;""><p>What type of rock is this?</p>",2,class_response,1,train,1,Diorite,Andesite,16,FALSE,3,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,107,2.0.0,275206,6703aeb136ffd366f9c531d4,3,16,4220,,,,,,,,,"<img src= rock_img/I_Andesite_16.jpg style=""width:8cm; height:6.010000000000001cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is andesite</strong></p>",0,corr_feedback,1,train,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,108,2.0.0,279309,6703aeb136ffd366f9c531d4,3,16,4101,,,,,,,,,"<img src= ""rock_img/I_Pegmatite_16.jpg"" style=""width:8cm; height:5.8cm;""><p>What type of rock is this?</p>",6,class_response,1,train,2,Peridotite,Pegmatite,16,FALSE,7,6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,109,2.0.0,287999,6703aeb136ffd366f9c531d4,3,16,8688,,,,,,,,,"<img src= rock_img/I_Pegmatite_16.jpg style=""width:8cm; height:5.8cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is pegmatite</strong></p>",0,corr_feedback,1,train,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,110,2.0.0,299237,6703aeb136ffd366f9c531d4,3,16,11235,,,,,,,,,"<img src= ""rock_img/I_Pumice_10.jpg"" style=""width:8cm; height:7.609999999999999cm;""><p>What type of rock is this?</p>",7,class_response,1,train,3,Pumice,Pumice,10,TRUE,8,8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,111,2.0.0,301581,6703aeb136ffd366f9c531d4,3,16,2342,,,,,,,,,"<img src= rock_img/I_Pumice_10.jpg style=""width:8cm; height:7.609999999999999cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is pumice</strong></p>",0,corr_feedback,1,train,3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,112,2.0.0,304389,6703aeb136ffd366f9c531d4,3,16,2805,,,,,,,,,"<img src= ""rock_img/I_Diorite_14.jpg"" style=""width:8cm; height:5.71cm;""><p>What type of rock is this?</p>",6,class_response,1,train,4,Peridotite,Diorite,14,FALSE,7,3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,113,2.0.0,307675,6703aeb136ffd366f9c531d4,3,16,3283,,,,,,,,,"<img src= rock_img/I_Diorite_14.jpg style=""width:8cm; height:5.71cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is diorite</strong></p>",0,corr_feedback,1,train,4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,114,2.0.0,309881,6703aeb136ffd366f9c531d4,3,16,2203,,,,,,,,,"<img src= ""rock_img/I_Basalt_02.jpg"" style=""width:8cm; height:6.45cm;""><p>What type of rock is this?</p>",0,class_response,1,train,5,Andesite,Basalt,2,FALSE,1,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,115,2.0.0,312158,6703aeb136ffd366f9c531d4,3,16,2273,,,,,,,,,"<img src= rock_img/I_Basalt_02.jpg style=""width:8cm; height:6.45cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is basalt</strong></p>",0,corr_feedback,1,train,5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,116,2.0.0,313362,6703aeb136ffd366f9c531d4,3,16,1202,,,,,,,,,"<img src= ""rock_img/I_Obsidian_07.jpg"" style=""width:8cm; height:4.76cm;""><p>What type of rock is this?</p>",4,class_response,1,train,6,Obsidian,Obsidian,7,TRUE,5,5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,117,2.0.0,315167,6703aeb136ffd366f9c531d4,3,16,1802,,,,,,,,,"<img src= rock_img/I_Obsidian_07.jpg style=""width:8cm; height:4.76cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is obsidian</strong></p>",0,corr_feedback,1,train,6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,118,2.0.0,319915,6703aeb136ffd366f9c531d4,3,16,4746,,,,,,,,,"<img src= ""rock_img/I_Pumice_04.jpg"" style=""width:8cm; height:6.819999999999999cm;""><p>What type of rock is this?</p>",5,class_response,1,train,7,Pegmatite,Pumice,4,FALSE,6,8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,119,2.0.0,325136,6703aeb136ffd366f9c531d4,3,16,5218,,,,,,,,,"<img src= rock_img/I_Pumice_04.jpg style=""width:8cm; height:6.819999999999999cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is pumice</strong></p>",0,corr_feedback,1,train,7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,120,2.0.0,331169,6703aeb136ffd366f9c531d4,3,16,6030,,,,,,,,,"<img src= ""rock_img/I_Andesite_14.jpg"" style=""width:8cm; height:5.449999999999999cm;""><p>What type of rock is this?</p>",6,class_response,1,train,8,Peridotite,Andesite,14,FALSE,7,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,121,2.0.0,334472,6703aeb136ffd366f9c531d4,3,16,3301,,,,,,,,,"<img src= rock_img/I_Andesite_14.jpg style=""width:8cm; height:5.449999999999999cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is andesite</strong></p>",0,corr_feedback,1,train,8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,122,2.0.0,336041,6703aeb136ffd366f9c531d4,3,16,1566,,,,,,,,,"<img src= ""rock_img/I_Peridotite_02.jpg"" style=""width:8cm; height:5.859999999999999cm;""><p>What type of rock is this?</p>",3,class_response,1,train,9,Gabbro,Peridotite,2,FALSE,4,7,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,123,2.0.0,339009,6703aeb136ffd366f9c531d4,3,16,2966,,,,,,,,,"<img src= rock_img/I_Peridotite_02.jpg style=""width:8cm; height:5.859999999999999cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is peridotite</strong></p>",0,corr_feedback,1,train,9,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,124,2.0.0,341258,6703aeb136ffd366f9c531d4,3,16,2245,,,,,,,,,"<img src= ""rock_img/I_Obsidian_05.jpg"" style=""width:8cm; height:6.33cm;""><p>What type of rock is this?</p>",4,class_response,1,train,10,Obsidian,Obsidian,5,TRUE,5,5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,125,2.0.0,342521,6703aeb136ffd366f9c531d4,3,16,1260,,,,,,,,,"<img src= rock_img/I_Obsidian_05.jpg style=""width:8cm; height:6.33cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is obsidian</strong></p>",0,corr_feedback,1,train,10,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,126,2.0.0,344638,6703aeb136ffd366f9c531d4,3,16,2113,,,,,,,,,"<img src= ""rock_img/I_Basalt_08.jpg"" style=""width:8cm; height:10.44cm;""><p>What type of rock is this?</p>",1,class_response,1,train,11,Basalt,Basalt,8,TRUE,2,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,127,2.0.0,346100,6703aeb136ffd366f9c531d4,3,16,1460,,,,,,,,,"<img src= rock_img/I_Basalt_08.jpg style=""width:8cm; height:10.44cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is basalt</strong></p>",0,corr_feedback,1,train,11,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,128,2.0.0,350299,6703aeb136ffd366f9c531d4,3,16,4195,,,,,,,,,"<img src= ""rock_img/I_Gabbro_11.jpg"" style=""width:8cm; height:6.2cm;""><p>What type of rock is this?</p>",6,class_response,1,train,12,Peridotite,Gabbro,11,FALSE,7,4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,129,2.0.0,353183,6703aeb136ffd366f9c531d4,3,16,2881,,,,,,,,,"<img src= rock_img/I_Gabbro_11.jpg style=""width:8cm; height:6.2cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is gabbro</strong></p>",0,corr_feedback,1,train,12,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,instructions,130,2.0.0,379217,6703aeb136ffd366f9c531d4,3,16,26032,,,,,,,,"[{""page_index"":0,""viewing_time"":6013},{""page_index"":1,""viewing_time"":8894},{""page_index"":2,""viewing_time"":6077},{""page_index"":3,""viewing_time"":5048}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,131,2.0.0,380652,6703aeb136ffd366f9c531d4,3,16,1433,,,,,,,,,,0,start_train,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,132,2.0.0,386633,6703aeb136ffd366f9c531d4,3,16,,,,,,,,,,,,cat_selection,1,train,1,,,,,,,2,6,5977.1,Basalt,Pegmatite,"[0.12500000000000003,0.12500000000000003,0.12500000000000003,0.17763157894736842,0.01973684210526316,0.15131578947368424,0.15131578947368424,0.12500000000000003]","[0.21271645044961446,null,0.045478266145457004,0.2110820752600121,0.059487196342048666,0.20032159264523877,0.21346765395290995,0.05744676520471901]",,,,,,,,,,
,,,,,,,,,,,paired-cat-display,133,1.0.0,458117,6703aeb136ffd366f9c531d4,3,16,,,,,,,,,,,,paired_cat_display,1,train,1,,,,,,,,,9006.2,,,,,Basalt is typically a consistent darker color and can sometimes be porus,Pegmatite has crystals in it and has typically a lighter color,62471.9,,,,,,,
,,,,,,,,,,,html-button-response,134,2.0.0,461543,6703aeb136ffd366f9c531d4,3,16,,,,,,,,,,,,cat_selection,1,train,2,,,,,,,3,4,3424.2,Diorite,Gabbro,"[0.12500000000000003,0.12500000000000003,0.12500000000000003,0.17763157894736842,0.01973684210526316,0.15131578947368424,0.15131578947368424,0.12500000000000003]","[0.20542172740578785,0.049366125626516016,null,0.06449552082410677,0.05889775479324288,0.2201874881958618,0.3624249824894972,0.03920640066498749]",,,,,,,,,,
,,,,,,,,,,,paired-cat-display,135,1.0.0,495042,6703aeb136ffd366f9c531d4,3,16,,,,,,,,,,,,paired_cat_display,1,train,2,,,,,,,,,6330.8,,,,,,,27160.6,Dirorite has white and black flakes,"Gabbro also has flakes, but the colors are less juxtaposed",,,,,
,,,,,,,,,,,html-button-response,136,2.0.0,497519,6703aeb136ffd366f9c531d4,3,16,,,,,,,,,,,,cat_selection,1,train,3,,,,,,,2,8,2475.1,Basalt,Pumice,"[0.12500000000000003,0.12500000000000003,0.12500000000000003,0.17763157894736842,0.01973684210526316,0.15131578947368424,0.15131578947368424,0.12500000000000003]","[0.21271645044961446,null,0.045478266145457004,0.2110820752600121,0.059487196342048666,0.20032159264523877,0.21346765395290995,0.05744676520471901]",,,,,,,,,,
,,,,,,,,,,,paired-cat-display,137,1.0.0,531489,6703aeb136ffd366f9c531d4,3,16,,,,,,,,,,,,paired_cat_display,1,train,3,,,,,,,,,8502.5,,,,,Basalt is a darker color an pourous,,25460.6,,,Pumice is a lighter color and pourous,,,,
,,,,,,,,,,,instructions,138,2.0.0,559277,6703aeb136ffd366f9c531d4,3,16,27787,,,,,,,,"[{""page_index"":0,""viewing_time"":7179},{""page_index"":1,""viewing_time"":20607}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,139,2.0.0,560991,6703aeb136ffd366f9c531d4,3,16,1711,,,,,,,,,,0,start_test,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,140,2.0.0,562597,6703aeb136ffd366f9c531d4,3,16,1603,,,,,,,,,"<img src= ""rock_img/I_Obsidian_09.jpg"" style=""width:8cm; height:5cm;""><p>What type of rock is this?</p>",4,class_response,1,test,1,Obsidian,Obsidian,9,TRUE,5,5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,141,2.0.0,563107,6703aeb136ffd366f9c531d4,3,16,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,1,test,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,142,2.0.0,582565,6703aeb136ffd366f9c531d4,3,16,19454,,,,,,,,,"<img src= ""rock_img/I_Diorite_11.jpg"" style=""width:8cm; height:7.11cm;""><p>What type of rock is this?</p>",2,class_response,1,test,2,Diorite,Diorite,11,TRUE,3,3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,143,2.0.0,583082,6703aeb136ffd366f9c531d4,3,16,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,1,test,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,144,2.0.0,585980,6703aeb136ffd366f9c531d4,3,16,2894,,,,,,,,,"<img src= ""rock_img/I_Pumice_06.jpg"" style=""width:8cm; height:6.9399999999999995cm;""><p>What type of rock is this?</p>",7,class_response,1,test,3,Pumice,Pumice,6,TRUE,8,8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,145,2.0.0,586492,6703aeb136ffd366f9c531d4,3,16,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,1,test,3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,146,2.0.0,594841,6703aeb136ffd366f9c531d4,3,16,8347,,,,,,,,,"<img src= ""rock_img/I_Andesite_05.jpg"" style=""width:8cm; height:4.12cm;""><p>What type of rock is this?</p>",0,class_response,1,test,4,Andesite,Andesite,5,TRUE,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,147,2.0.0,595348,6703aeb136ffd366f9c531d4,3,16,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,1,test,4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,148,2.0.0,597756,6703aeb136ffd366f9c531d4,3,16,2406,,,,,,,,,"<img src= ""rock_img/I_Basalt_04.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>",1,class_response,1,test,5,Basalt,Basalt,4,TRUE,2,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,149,2.0.0,598272,6703aeb136ffd366f9c531d4,3,16,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,1,test,5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,150,2.0.0,607459,6703aeb136ffd366f9c531d4,3,16,9183,,,,,,,,,"<img src= ""rock_img/I_Gabbro_12.jpg"" style=""width:8cm; height:7.800000000000001cm;""><p>What type of rock is this?</p>",6,class_response,1,test,6,Peridotite,Gabbro,12,FALSE,7,4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,151,2.0.0,607967,6703aeb136ffd366f9c531d4,3,16,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,1,test,6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,152,2.0.0,614708,6703aeb136ffd366f9c531d4,3,16,6739,,,,,,,,,"<img src= ""rock_img/I_Peridotite_13.jpg"" style=""width:8cm; height:7.58cm;""><p>What type of rock is this?</p>",3,class_response,1,test,7,Gabbro,Peridotite,13,FALSE,4,7,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,153,2.0.0,615212,6703aeb136ffd366f9c531d4,3,16,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,1,test,7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,154,2.0.0,617402,6703aeb136ffd366f9c531d4,3,16,2186,,,,,,,,,"<img src= ""rock_img/I_Gabbro_09.jpg"" style=""width:8cm; height:7.279999999999999cm;""><p>What type of rock is this?</p>",4,class_response,1,test,8,Obsidian,Gabbro,9,FALSE,5,4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,155,2.0.0,617914,6703aeb136ffd366f9c531d4,3,16,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,1,test,8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,156,2.0.0,679955,6703aeb136ffd366f9c531d4,3,16,62036,,,,,,,,,"<img src= ""rock_img/I_Peridotite_12.jpg"" style=""width:8cm; height:4.54cm;""><p>What type of rock is this?</p>",6,class_response,1,test,9,Peridotite,Peridotite,12,TRUE,7,7,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,157,2.0.0,680469,6703aeb136ffd366f9c531d4,3,16,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,1,test,9,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,158,2.0.0,682463,6703aeb136ffd366f9c531d4,3,16,1991,,,,,,,,,"<img src= ""rock_img/I_Pegmatite_09.jpg"" style=""width:8cm; height:4.03cm;""><p>What type of rock is this?</p>",5,class_response,1,test,10,Pegmatite,Pegmatite,9,TRUE,6,6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,159,2.0.0,682975,6703aeb136ffd366f9c531d4,3,16,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,1,test,10,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,160,2.0.0,685249,6703aeb136ffd366f9c531d4,3,16,2271,,,,,,,,,"<img src= ""rock_img/I_Basalt_11.jpg"" style=""width:8cm; height:5.359999999999999cm;""><p>What type of rock is this?</p>",1,class_response,1,test,11,Basalt,Basalt,11,TRUE,2,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,161,2.0.0,685757,6703aeb136ffd366f9c531d4,3,16,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,1,test,11,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,162,2.0.0,687652,6703aeb136ffd366f9c531d4,3,16,1892,,,,,,,,,"<img src= ""rock_img/I_Pumice_09.jpg"" style=""width:8cm; height:6.44cm;""><p>What type of rock is this?</p>",7,class_response,1,test,12,Pumice,Pumice,9,TRUE,8,8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,163,2.0.0,688166,6703aeb136ffd366f9c531d4,3,16,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,1,test,12,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,164,2.0.0,690840,6703aeb136ffd366f9c531d4,3,16,2671,,,,,,,,,"<img src= ""rock_img/I_Diorite_07.jpg"" style=""width:8cm; height:5.239999999999999cm;""><p>What type of rock is this?</p>",5,class_response,1,test,13,Pegmatite,Diorite,7,FALSE,6,3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,165,2.0.0,691343,6703aeb136ffd366f9c531d4,3,16,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,1,test,13,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,166,2.0.0,693848,6703aeb136ffd366f9c531d4,3,16,2502,,,,,,,,,"<img src= ""rock_img/I_Pumice_13.jpg"" style=""width:8cm; height:8.200000000000001cm;""><p>What type of rock is this?</p>",0,class_response,1,test,14,Andesite,Pumice,13,FALSE,1,8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,167,2.0.0,694352,6703aeb136ffd366f9c531d4,3,16,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,1,test,14,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,168,2.0.0,696686,6703aeb136ffd366f9c531d4,3,16,2331,,,,,,,,,"<img src= ""rock_img/I_Basalt_14.jpg"" style=""width:8cm; height:5.82cm;""><p>What type of rock is this?</p>",1,class_response,1,test,15,Basalt,Basalt,14,TRUE,2,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,169,2.0.0,697190,6703aeb136ffd366f9c531d4,3,16,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,1,test,15,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,170,2.0.0,698420,6703aeb136ffd366f9c531d4,3,16,1227,,,,,,,,,"<img src= ""rock_img/I_Obsidian_08.jpg"" style=""width:8cm; height:7.39cm;""><p>What type of rock is this?</p>",4,class_response,1,test,16,Obsidian,Obsidian,8,TRUE,5,5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,171,2.0.0,698930,6703aeb136ffd366f9c531d4,3,16,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,1,test,16,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,172,2.0.0,700759,6703aeb136ffd366f9c531d4,3,16,1826,,,,,,,,,"<img src= ""rock_img/I_Pegmatite_12.jpg"" style=""width:8cm; height:5.7cm;""><p>What type of rock is this?</p>",5,class_response,1,test,17,Pegmatite,Pegmatite,12,TRUE,6,6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,173,2.0.0,701265,6703aeb136ffd366f9c531d4,3,16,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,1,test,17,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,174,2.0.0,703216,6703aeb136ffd366f9c531d4,3,16,1948,,,,,,,,,"<img src= ""rock_img/I_Peridotite_05.jpg"" style=""width:8cm; height:7.1499999999999995cm;""><p>What type of rock is this?</p>",2,class_response,1,test,18,Diorite,Peridotite,5,FALSE,3,7,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,175,2.0.0,703720,6703aeb136ffd366f9c531d4,3,16,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,1,test,18,,,,,,,,,,,,,,,,,,,,,,,
