width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,plugin_version,time_elapsed,subjID,condition,stimID,rt,url,success,value,timeout,failed_images,failed_audio,failed_video,view_history,stimulus,response,trialType,cycle,phase,trial,resp,cat,token,corr,resp_num,cat_num,rt_ref,rt_paired,ref_cat_num,paired_cat_num,ref_cat,paired_cat,text_Andesite,text_Gabbro,time_obs,time_resp,text_Obsidian,text_Diorite,time_fb1,time_fb2,text_Peridotite,text_Pegmatite,text_Basalt,text_Pumice
,,,,,,,,,,,html-button-response,602,2.0.0,5221834,60f32eb8d0fa43b7850ae16b,4,38,3952,,,,,,,,,"<img src= ""rock_img/I_Andesite_14.jpg"" style=""width:8cm; height:5.449999999999999cm;""><p>What type of rock is this?</p>",6,class_response,4,test,31,Andesite,Andesite,14,TRUE,1,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,603,2.0.0,5222349,60f32eb8d0fa43b7850ae16b,4,38,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,4,test,31,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,604,2.0.0,5228011,60f32eb8d0fa43b7850ae16b,4,38,5660,,,,,,,,,"<img src= ""rock_img/I_Pegmatite_07.jpg"" style=""width:8cm; height:6.7cm;""><p>What type of rock is this?</p>",5,class_response,4,test,32,Pegmatite,Pegmatite,7,TRUE,6,6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,605,2.0.0,5228519,60f32eb8d0fa43b7850ae16b,4,38,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,4,test,32,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,606,2.0.0,5231227,60f32eb8d0fa43b7850ae16b,4,38,2706,,,,,,,,,"<img src= ""rock_img/I_Obsidian_09.jpg"" style=""width:8cm; height:5cm;""><p>What type of rock is this?</p>",4,class_response,4,test,33,Obsidian,Obsidian,9,TRUE,5,5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,607,2.0.0,5231730,60f32eb8d0fa43b7850ae16b,4,38,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,4,test,33,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,608,2.0.0,5336529,60f32eb8d0fa43b7850ae16b,4,38,104796,,,,,,,,,"<img src= ""rock_img/I_Pumice_09.jpg"" style=""width:8cm; height:6.44cm;""><p>What type of rock is this?</p>",6,class_response,4,test,34,Peridotite,Pumice,9,FALSE,7,8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,609,2.0.0,5337044,60f32eb8d0fa43b7850ae16b,4,38,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,4,test,34,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,610,2.0.0,5339281,60f32eb8d0fa43b7850ae16b,4,38,2234,,,,,,,,,"<img src= ""rock_img/I_Pumice_04.jpg"" style=""width:8cm; height:6.819999999999999cm;""><p>What type of rock is this?</p>",5,class_response,4,test,35,Pegmatite,Pumice,4,FALSE,6,8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,611,2.0.0,5339789,60f32eb8d0fa43b7850ae16b,4,38,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,4,test,35,,,,,,,,,,,,,,,,,,,,,,,,
