"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","ref_cat_num","paired_cat_num","time_obs","ref_cat","paired_cat","ref_prob_dist","paired_prob_dist","text_Andesite","text_Gabbro","time_resp","text_Pegmatite","text_Diorite","time_fb1","time_fb2","text_Peridotite","text_Basalt"
"","","","","","","","","","","","html-button-response","399","2.0.0","1019339","5ec17a2e02be030625eaff6e","3","50","1124","","","","","","","","","","0","start_train","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","400","2.0.0","1021578","5ec17a2e02be030625eaff6e","3","50","","","","","","","","","","","","cat_selection","3","train","1","","","","","","","1","3","2234","Andesite","Diorite","[0.2463097846148644,0.04097005810755765,0.1938335366545154,0.1851135848247466,0.054411812253152156,0.14894300888364248,0.09760099256358609,0.032817222097935195]","[null,0.014781103080097798,0.2908010667896721,0.36257705871789087,0.016016146359679306,0.10894492157480465,0.015553662067750908,0.1913260414101045]","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","401","1.0.0","1048749","5ec17a2e02be030625eaff6e","3","50","","","","","","","","","","","","paired_cat_display","3","train","1","","","","","","","","","6965.39999999851","","","","","Andesite is small, but distinct chunks in the rock","","20192.099999997765","","Diorite is speckled - gonnaq think D for Dlamatian","","","",""
"","","","","","","","","","","","html-button-response","402","2.0.0","1051270","5ec17a2e02be030625eaff6e","3","50","","","","","","","","","","","","cat_selection","3","train","2","","","","","","","1","4","2517.199999999255","Andesite","Gabbro","[0.2463097846148644,0.04097005810755765,0.1938335366545154,0.1851135848247466,0.054411812253152156,0.14894300888364248,0.09760099256358609,0.032817222097935195]","[null,0.014781103080097798,0.2908010667896721,0.36257705871789087,0.016016146359679306,0.10894492157480465,0.015553662067750908,0.1913260414101045]","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","403","1.0.0","1093714","5ec17a2e02be030625eaff6e","3","50","","","","","","","","","","","","paired_cat_display","3","train","2","","","","","","","","","7093.099999997765","","","","","Andesite has small, discrete chunks","Gabbro tends to have a white dusty look I think in its composition??","35339","","","","","",""
"","","","","","","","","","","","html-button-response","404","2.0.0","1099607","5ec17a2e02be030625eaff6e","3","50","","","","","","","","","","","","cat_selection","3","train","3","","","","","","","3","4","5886.800000000745","Diorite","Gabbro","[0.2463097846148644,0.04097005810755765,0.1938335366545154,0.1851135848247466,0.054411812253152156,0.14894300888364248,0.09760099256358609,0.032817222097935195]","[0.3167646263114556,0.013276595993524959,null,0.33847440622728486,0.015840045889596182,0.22233047298834743,0.08276962746814773,0.01054422512164326]","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","405","1.0.0","1131617","5ec17a2e02be030625eaff6e","3","50","","","","","","","","","","","","paired_cat_display","3","train","3","","","","","","","","","6206.800000000745","","","","","","Gabbro looks kinda dusty and maybe has calcium or summin'?","25791.70000000298","","Diorite is finely speckled and highly heterogeneous","","","",""
"","","","","","","","","","","","html-button-response","407","2.0.0","1133248","5ec17a2e02be030625eaff6e","3","50","1625","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","408","2.0.0","1137497","5ec17a2e02be030625eaff6e","3","50","4239","","","","","","","","","<img src= ""rock_img/I_Pumice_16.jpg"" style=""width:8cm; height:6.79cm;""><p>What type of rock is this?</p>","7","class_response","3","test","1","Pumice","Pumice","16","true","8","8","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","409","2.0.0","1138002","5ec17a2e02be030625eaff6e","3","50","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","410","2.0.0","1139798","5ec17a2e02be030625eaff6e","3","50","1790","","","","","","","","","<img src= ""rock_img/I_Pegmatite_09.jpg"" style=""width:8cm; height:4.03cm;""><p>What type of rock is this?</p>","5","class_response","3","test","2","Pegmatite","Pegmatite","09","true","6","6","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","411","2.0.0","1140302","5ec17a2e02be030625eaff6e","3","50","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","2","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","412","2.0.0","1141774","5ec17a2e02be030625eaff6e","3","50","1466","","","","","","","","","<img src= ""rock_img/I_Obsidian_05.jpg"" style=""width:8cm; height:6.33cm;""><p>What type of rock is this?</p>","4","class_response","3","test","3","Obsidian","Obsidian","05","true","5","5","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","413","2.0.0","1142277","5ec17a2e02be030625eaff6e","3","50","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","3","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","414","2.0.0","1148162","5ec17a2e02be030625eaff6e","3","50","5880","","","","","","","","","<img src= ""rock_img/I_Andesite_09.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","2","class_response","3","test","4","Diorite","Andesite","09","false","3","1","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","415","2.0.0","1148666","5ec17a2e02be030625eaff6e","3","50","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","4","","","","","","","","","","","","","","","","","","","","","",""
