"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","ref_cat_num","paired_cat_num","time_obs","ref_cat","paired_cat","ref_prob_dist","paired_prob_dist","text_Andesite","text_Diorite","time_resp","text_Pegmatite","text_Peridotite","text_Gabbro","time_fb1","time_fb2","text_Basalt"
"","","","","","","","","","","","html-button-response","404","2.0.0","1844513","672ef4b87576e39bf4a023b8","3","45","","","","","","","","","","","","cat_selection","3","train","3","","","","","","","3","7","4222.0999999940395","Diorite","Peridotite","[0.09422609709229801,0.16765897958608222,0.1559982328605621,0.1256041390053502,0.028469001216227783,0.17931972631160237,0.19903702149913444,0.04968680242874276]","[0.3320017937447555,0.013276595993524959,null,0.01734551704243339,0.0437408954360034,0.08636734790032169,0.49672362476131776,0.01054422512164326]","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","405","1.0.0","1902507","672ef4b87576e39bf4a023b8","3","45","","","","","","","","","","","","paired_cat_display","3","train","3","","","","","","","","","25040","","","","","","Please dont me ","32944","","Good to know ","","","",""
"","","","","","","","","","","","html-button-response","407","2.0.0","1907256","672ef4b87576e39bf4a023b8","3","45","4743","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","408","2.0.0","1912398","672ef4b87576e39bf4a023b8","3","45","5136","","","","","","","","","<img src= ""rock_img/I_Peridotite_10.jpg"" style=""width:8cm; height:5.390000000000001cm;""><p>What type of rock is this?</p>","2","class_response","3","test","1","Diorite","Peridotite","10","false","3","7","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","409","2.0.0","1912901","672ef4b87576e39bf4a023b8","3","45","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","1","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","410","2.0.0","1917328","672ef4b87576e39bf4a023b8","3","45","4420","","","","","","","","","<img src= ""rock_img/I_Basalt_14.jpg"" style=""width:8cm; height:5.82cm;""><p>What type of rock is this?</p>","3","class_response","3","test","2","Gabbro","Basalt","14","false","4","2","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","411","2.0.0","1917831","672ef4b87576e39bf4a023b8","3","45","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","2","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","412","2.0.0","1918843","672ef4b87576e39bf4a023b8","3","45","1002","","","","","","","","","<img src= ""rock_img/I_Obsidian_12.jpg"" style=""width:8cm; height:6.53cm;""><p>What type of rock is this?</p>","4","class_response","3","test","3","Obsidian","Obsidian","12","true","5","5","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","413","2.0.0","1919348","672ef4b87576e39bf4a023b8","3","45","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","3","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","414","2.0.0","1922639","672ef4b87576e39bf4a023b8","3","45","3284","","","","","","","","","<img src= ""rock_img/I_Pumice_08.jpg"" style=""width:8cm; height:6.67cm;""><p>What type of rock is this?</p>","7","class_response","3","test","4","Pumice","Pumice","08","true","8","8","","","","","","","","","","","","","","","",""
