"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","ref_cat_num","paired_cat_num","time_obs","ref_cat","paired_cat","ref_prob_dist","paired_prob_dist","text_Andesite","text_Peridotite","time_resp","text_Diorite","text_Basalt","text_Gabbro","time_fb1","time_fb2","text_Pegmatite"
"","","","","","","","","","","","html-button-response","73","2.0.0","319102","663a722d7e8c2b7e771bd95c","3","25","2217","","","","","","","","","<img src= ""rock_img/I_Pumice_13.jpg"" style=""width:8cm; height:8.200000000000001cm;""><p>What type of rock is this?</p>","7","class_response","0","test","34","Pumice","Pumice","13","true","8","8","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","74","2.0.0","319615","663a722d7e8c2b7e771bd95c","3","25","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","34","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","75","2.0.0","321398","663a722d7e8c2b7e771bd95c","3","25","1782","","","","","","","","","<img src= ""rock_img/I_Obsidian_09.jpg"" style=""width:8cm; height:5cm;""><p>What type of rock is this?</p>","4","class_response","0","test","35","Obsidian","Obsidian","09","true","5","5","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","76","2.0.0","321900","663a722d7e8c2b7e771bd95c","3","25","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","35","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","77","2.0.0","325850","663a722d7e8c2b7e771bd95c","3","25","3949","","","","","","","","","<img src= ""rock_img/I_Basalt_02.jpg"" style=""width:8cm; height:6.45cm;""><p>What type of rock is this?</p>","2","class_response","0","test","36","Diorite","Basalt","02","false","3","2","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","78","2.0.0","326362","663a722d7e8c2b7e771bd95c","3","25","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","36","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","79","2.0.0","327591","663a722d7e8c2b7e771bd95c","3","25","1228","","","","","","","","","<img src= ""rock_img/I_Obsidian_16.jpg"" style=""width:8cm; height:9.3cm;""><p>What type of rock is this?</p>","4","class_response","0","test","37","Obsidian","Obsidian","16","true","5","5","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","80","2.0.0","328092","663a722d7e8c2b7e771bd95c","3","25","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","37","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","81","2.0.0","329362","663a722d7e8c2b7e771bd95c","3","25","1269","","","","","","","","","<img src= ""rock_img/I_Obsidian_02.jpg"" style=""width:8cm; height:7.51cm;""><p>What type of rock is this?</p>","4","class_response","0","test","38","Obsidian","Obsidian","02","true","5","5","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","82","2.0.0","329871","663a722d7e8c2b7e771bd95c","3","25","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","38","","","","","","","","","","","","","","","","","","","","","",""
