"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","ref_cat_num","paired_cat_num","time_obs","ref_cat","paired_cat","ref_prob_dist","paired_prob_dist","text_Gabbro","text_Peridotite","time_resp","text_Andesite","text_Obsidian","text_Basalt","text_Pumice","time_fb1","time_fb2","text_Pegmatite"
"","","","","","","","","","","","html-button-response","391","2.0.0","4317285","672fe1481ba8b290765e0a76","3","43","4453","","","","","","","","","<img src= rock_img/I_Peridotite_15.jpg style=""width:8cm; height:6cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is peridotite</strong></p>","0","corr_feedback","3","train","9","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","392","2.0.0","4323324","672fe1481ba8b290765e0a76","3","43","6031","","","","","","","","","<img src= ""rock_img/I_Gabbro_15.jpg"" style=""width:8cm; height:6.29cm;""><p>What type of rock is this?</p>","6","class_response","3","train","10","Peridotite","Gabbro","15","false","7","4","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","393","2.0.0","4327298","672fe1481ba8b290765e0a76","3","43","3969","","","","","","","","","<img src= rock_img/I_Gabbro_15.jpg style=""width:8cm; height:6.29cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is gabbro</strong></p>","0","corr_feedback","3","train","10","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","394","2.0.0","4330213","672fe1481ba8b290765e0a76","3","43","2902","","","","","","","","","<img src= ""rock_img/I_Peridotite_06.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","5","class_response","3","train","11","Pegmatite","Peridotite","06","false","6","7","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","395","2.0.0","4334280","672fe1481ba8b290765e0a76","3","43","4059","","","","","","","","","<img src= rock_img/I_Peridotite_06.jpg style=""width:8cm; height:7.53cm;""><p style='font-size: 30px; color: red;'><strong>Incorrect!</strong></p><p style='font-size: 30px;'><strong>This rock is peridotite</strong></p>","0","corr_feedback","3","train","11","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","396","2.0.0","4336669","672fe1481ba8b290765e0a76","3","43","2381","","","","","","","","","<img src= ""rock_img/I_Pumice_16.jpg"" style=""width:8cm; height:6.79cm;""><p>What type of rock is this?</p>","7","class_response","3","train","12","Pumice","Pumice","16","true","8","8","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","397","2.0.0","4340946","672fe1481ba8b290765e0a76","3","43","4270","","","","","","","","","<img src= rock_img/I_Pumice_16.jpg style=""width:8cm; height:6.79cm;""><p style='font-size: 30px; color: green;'><strong>Correct!</strong></p><p style='font-size: 30px;'><strong>This rock is pumice</strong></p>","0","corr_feedback","3","train","12","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","399","2.0.0","4346550","672fe1481ba8b290765e0a76","3","43","5597","","","","","","","","","","0","start_train","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","400","2.0.0","4349681","672fe1481ba8b290765e0a76","3","43","","","","","","","","","","","","cat_selection","3","train","1","","","","","","","1","4","3124","Andesite","Gabbro","[0.13618893417259387,0.13618893417259387,0.1804912188805839,0.1324728995983088,0.05742710457617986,0.12634619435302785,0.1385996048435897,0.09228510940312218]","[null,0.35163161181806063,0.04535845695294058,0.44234143259655295,0.016016146359679302,0.01204298585174901,0.049034681523439566,0.08357468489757791]","","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","401","1.0.0","4473316","672fe1481ba8b290765e0a76","3","43","","","","","","","","","","","","paired_cat_display","3","train","1","","","","","","","","","29099","","","","","coarse grained rock
","","94522","gray to black","","","","","",""
"","","","","","","","","","","","html-button-response","402","2.0.0","4476349","672fe1481ba8b290765e0a76","3","43","","","","","","","","","","","","cat_selection","3","train","2","","","","","","","1","7","3030","Andesite","Peridotite","[0.13618893417259387,0.13618893417259387,0.1804912188805839,0.1324728995983088,0.05742710457617986,0.12634619435302785,0.1385996048435897,0.09228510940312218]","[null,0.35163161181806063,0.04535845695294058,0.44234143259655295,0.016016146359679302,0.01204298585174901,0.049034681523439566,0.08357468489757791]","","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","403","1.0.0","4577950","672fe1481ba8b290765e0a76","3","43","","","","","","","","","","","","paired_cat_display","3","train","2","","","","","","","","","18034","","","","",""," dense green colored","83555","gray to dark volcano","","","","","",""
"","","","","","","","","","","","html-button-response","404","2.0.0","4580313","672fe1481ba8b290765e0a76","3","43","","","","","","","","","","","","cat_selection","3","train","3","","","","","","","6","7","2353","Pegmatite","Peridotite","[0.13618893417259387,0.13618893417259387,0.1804912188805839,0.1324728995983088,0.05742710457617986,0.12634619435302785,0.1385996048435897,0.09228510940312218]","[0.041595807411900075,0.04106091815640734,0.017510899649091895,0.11361199559297405,0.04321840442716576,null,0.6759048489335429,0.0670971258289181]","","","","","","","","","",""
"","","","","","","","","","","","paired-cat-display","405","1.0.0","4776724","672fe1481ba8b290765e0a76","3","43","","","","","","","","","","","","paired_cat_display","3","train","3","","","","","","","","","12408","","","","","","densed, gray color","183991","","","","","","","crystalize gemstone like"
"","","","","","","","","","","","html-button-response","407","2.0.0","4780091","672fe1481ba8b290765e0a76","3","43","3363","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","408","2.0.0","4783422","672fe1481ba8b290765e0a76","3","43","3320","","","","","","","","","<img src= ""rock_img/I_Obsidian_09.jpg"" style=""width:8cm; height:5cm;""><p>What type of rock is this?</p>","4","class_response","3","test","1","Obsidian","Obsidian","09","true","5","5","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","409","2.0.0","4783934","672fe1481ba8b290765e0a76","3","43","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","1","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","410","2.0.0","4794470","672fe1481ba8b290765e0a76","3","43","10531","","","","","","","","","<img src= ""rock_img/I_Peridotite_13.jpg"" style=""width:8cm; height:7.58cm;""><p>What type of rock is this?</p>","6","class_response","3","test","2","Peridotite","Peridotite","13","true","7","7","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","411","2.0.0","4794980","672fe1481ba8b290765e0a76","3","43","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","2","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","412","2.0.0","4797682","672fe1481ba8b290765e0a76","3","43","2698","","","","","","","","","<img src= ""rock_img/I_Obsidian_06.jpg"" style=""width:8cm; height:6.8cm;""><p>What type of rock is this?</p>","4","class_response","3","test","3","Obsidian","Obsidian","06","true","5","5","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","413","2.0.0","4798191","672fe1481ba8b290765e0a76","3","43","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","3","test","3","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","414","2.0.0","4801056","672fe1481ba8b290765e0a76","3","43","2862","","","","","","","","","<img src= ""rock_img/I_Pumice_04.jpg"" style=""width:8cm; height:6.819999999999999cm;""><p>What type of rock is this?</p>","7","class_response","3","test","4","Pumice","Pumice","04","true","8","8","","","","","","","","","","","","","","","","",""
